f_s,Band Gap,Fractal Dimension,Topological Invariant,Correlation Length
0.5,2.512562814070352,0.8322047852103087,0,0.39799999999999996
1.0,2.512562814070352,0.8322047852103087,0,0.39799999999999996
1.5,2.512562814070352,0.8322047852103087,0,0.39799999999999996
1.6,2.512562814070352,0.8322047852103087,0,0.39799999999999996
1.618033988749895,2.512562814070352,0.8322047852103087,0,0.39799999999999996
1.625,2.512562814070352,0.8322047852103087,0,0.39799999999999996
1.6666666666666667,2.512562814070352,0.8322047852103087,0,0.39799999999999996
2.0,2.512562814070352,0.8322047852103087,0,0.39799999999999996
2.5,2.512562814070352,0.8322047852103087,0,0.39799999999999996
3.0,2.512562814070352,0.8322047852103087,0,0.39799999999999996
